,imname,n,row,col,area,mean,max,min
1,mutant_1_113-142.tif,4,0,4,2109,0.26823789734006454,0.43137254901960786,0.10588235294117646
2,mutant_1_113-142.tif,1,0,1,2003,0.26339706127083884,0.40784313725490196,0.10196078431372549
3,mutant_1_113-142.tif,2,0,2,1890,0.25565515094926855,0.42745098039215684,0.0980392156862745
4,mutant_1_113-142.tif,3,0,3,1890,0.25987965556593007,0.4235294117647058,0.10980392156862745
5,mutant_1_113-142.tif,6,0,6,1374,0.28359448582926616,0.44313725490196076,0.14901960784313725
7,mutant_1_113-142.tif,5,0,5,1275,0.25928181468665895,0.42745098039215684,0.12156862745098039
8,mutant_1_113-142.tif,12,1,6,1626,0.26266550900803126,0.42745098039215684,0.10588235294117646
9,mutant_1_113-142.tif,8,1,2,2077,0.2627054480916102,0.4196078431372549,0.11764705882352941
10,mutant_1_113-142.tif,9,1,3,1700,0.2505651672433679,0.4235294117647058,0.08627450980392157
11,mutant_1_113-142.tif,10,1,4,1800,0.2553986928104575,0.44313725490196076,0.09411764705882353
12,mutant_1_113-142.tif,11,1,5,2115,0.2541936680109396,0.4392156862745098,0.08235294117647059
13,mutant_1_113-142.tif,7,1,1,1330,0.2650862450243255,0.41176470588235287,0.13725490196078433
15,mutant_1_113-142.tif,15,2,3,2104,0.2700626258107806,0.4235294117647058,0.12549019607843137
16,mutant_1_113-142.tif,14,2,2,1296,0.25797022512708784,0.4156862745098039,0.12156862745098039
18,mutant_1_113-142.tif,17,2,5,1459,0.25037025091050813,0.4235294117647058,0.08627450980392157
19,mutant_1_113-142.tif,13,2,1,1921,0.2530463096222352,0.396078431372549,0.0784313725490196
20,mutant_1_113-142.tif,18,2,6,2023,0.2528277747084993,0.4196078431372549,0.0784313725490196
21,mutant_1_113-142.tif,16,2,4,1129,0.2613036002709321,0.4235294117647058,0.12549019607843137
23,mutant_1_113-142.tif,24,3,6,1855,0.25095290946567306,0.41176470588235287,0.07450980392156863
24,mutant_1_113-142.tif,19,3,1,1287,0.2472233648704237,0.392156862745098,0.10588235294117646
25,mutant_1_113-142.tif,20,3,2,1748,0.24071656122403193,0.403921568627451,0.10980392156862745
26,mutant_1_113-142.tif,22,3,4,2133,0.2535745474936341,0.40784313725490196,0.10588235294117646
27,mutant_1_113-142.tif,23,3,5,1923,0.24629408705759995,0.41176470588235287,0.06274509803921569
28,mutant_1_113-142.tif,21,3,3,1385,0.24315424364691723,0.4196078431372549,0.10588235294117646
32,mutant_1_113-142.tif,27,4,3,2054,0.24560207724764688,0.392156862745098,0.10588235294117646
33,mutant_1_113-142.tif,30,4,6,1634,0.24711402308781527,0.4,0.10588235294117646
34,mutant_1_113-142.tif,29,4,5,1453,0.2624806013251825,0.4,0.12156862745098039
35,mutant_1_113-142.tif,26,4,2,1692,0.24645853613312937,0.380392156862745,0.10196078431372549
37,mutant_1_113-142.tif,25,4,1,1905,0.221726107765941,0.380392156862745,0.08235294117647059
38,mutant_1_113-142.tif,28,4,4,1325,0.25057195708472074,0.396078431372549,0.10588235294117646
